"Reference","Quantity","Value","Digi-Key Part #"
"D16, ","1","GREEN LED","732-5007-ND"
"D25, D26, D27, D28, ","4","RED LED","732-5005-ND"
"J1, J2, J3, J4, J5, J7, J8, J9, J10, J11, ","10","3.5mm Jack","WM17366-ND"
"J12, ","1","Eurorack Power Cable","H3CCS-1618G-ND"
"KN1, KN2, KN3, KN4, ","4","Mult Knob","1722-1314-ND"
"KN5, KN6, KN7, KN8, ","4","CV Knob","4654-FC7251-ND"
"RV10, RV11, RV14, RV15, ","4","1K","PTV09A-4020F-B102-ND"
"SC2, SC4, SC6, SC8, ","4","Mounting Screw","335-1156-ND"
"SO1, SO2, SO3, SO4, SO5, ","5","LED Spacer 9mm","RPC4262-ND"
"SW1, SW2, SW3, SW8, ","4","SW_Rotary8","1528-2925-ND"
"SW4, SW5, SW6, SW7, ","4","SW_SPDT","2449-ANT11SF1CQE-ND"
"U30, U31, U34, U35, ","4","NSL-32SR3","NSL-32SR3-ND"
